Building Engine...
Starting Main Loop
         253430411 function calls (250898655 primitive calls) in 169.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 component_entity_behavior.py:1(<module>)
        4    0.003    0.001    0.004    0.001 utility.py:147(_allocate)
      578    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
   131/65    0.000    0.000    0.004    0.000 pyparsing.py:3322(copy)
       26    0.000    0.000    0.004    0.000 pyparsing.py:1024(extract_stack)
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
    61/11    0.000    0.000    0.004    0.000 pyparsing.py:3247(leaveWhitespace)
       26    0.000    0.000    0.004    0.000 traceback.py:196(extract_stack)
       32    0.000    0.000    0.004    0.000 {built-in method builtins.next}
       26    0.000    0.000    0.004    0.000 traceback.py:313(extract)
     6024    0.003    0.000    0.004    0.000 utility.py:23(deactivate)
       48    0.000    0.000    0.004    0.000 __init__.py:1925(_by_version)
    13050    0.004    0.000    0.004    0.000 utility.py:35(set)
        1    0.000    0.000    0.004    0.004 linecache.py:6(<module>)
14703/14702    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     2468    0.004    0.000    0.004    0.000 render.py:19(addTimeStep)
      473    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        2    0.000    0.000    0.004    0.002 resource_management.py:200(loadAtlasImage)
     4936    0.003    0.000    0.004    0.000 component_scene_panorama.py:22(getScreenCoordinates)
      294    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1002    0.001    0.000    0.004    0.000 component_entity_behavior.py:140(setBehaviorState)
       28    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
     6024    0.003    0.000    0.004    0.000 utility.py:109(updateBehaviorState)
     5020    0.002    0.000    0.004    0.000 component_entity_behavior.py:20(enter)
       48    0.000    0.000    0.004    0.000 __init__.py:1931(<listcomp>)
     2548    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      258    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       26    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       13    0.000    0.000    0.004    0.000 pyparsing.py:2612(__init__)
     3995    0.002    0.000    0.004    0.000 sre_parse.py:163(__getitem__)
      160    0.000    0.000    0.004    0.000 version.py:24(parse)
 1514/657    0.003    0.000    0.003    0.000 sre_parse.py:173(getwidth)
       22    0.000    0.000    0.003    0.000 __init__.py:2090(_handle_ns)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3324(<listcomp>)
    12340    0.003    0.000    0.003    0.000 scene_layer.py:129(getRenderables)
     1005    0.002    0.000    0.003    0.000 component_entity_physics.py:14(__init__)
