         29886883 function calls (25691561 primitive calls) in 26.698 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
        1    0.000    0.000    0.001    0.001 GL_4_0.py:1(<module>)
     1070    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       25    0.000    0.000    0.001    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.001    0.001 imaging.py:1(<module>)
      842    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.001    0.001 GL_1_4.py:1(<module>)
        1    0.000    0.000    0.001    0.001 internalformat_query2.py:57(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3349(__init__)
      179    0.000    0.000    0.001    0.000 baseplatform.py:150(<listcomp>)
        1    0.000    0.000    0.001    0.001 GL_4_4.py:9(<module>)
        1    0.000    0.000    0.001    0.001 uniform_buffer_object.py:113(<module>)
     3026    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       22    0.000    0.000    0.001    0.000 __init__.py:2563(_get_metadata)
      149    0.001    0.000    0.001    0.000 ctypesloader.py:50(buildFunction)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
      535    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       25    0.000    0.000    0.001    0.000 linecache.py:53(checkcache)
       60    0.000    0.000    0.001    0.000 separate_shader_objects.py:12(_f)
        1    0.000    0.000    0.001    0.001 program_interface_query.py:45(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:124(__new__)
        4    0.000    0.000    0.001    0.000 __init__.py:2760(_reload_version)
        1    0.000    0.000    0.001    0.001 vertex_attrib_64bit.py:52(<module>)
        1    0.000    0.000    0.001    0.001 arrayhelpers.py:5(<module>)
        5    0.000    0.000    0.001    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.001    0.001 extensions.py:5(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:2390(_version_from_file)
        1    0.000    0.000    0.001    0.001 debug.py:1(<module>)
        1    0.000    0.000    0.001    0.001 shader_subroutine.py:18(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
    106/2    0.000    0.000    0.001    0.001 pyparsing.py:1347(_parseNoCache)
        1    0.000    0.000    0.001    0.001 viewport_array.py:35(<module>)
1177/1047    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     10/2    0.000    0.000    0.001    0.001 pyparsing.py:3356(parseImpl)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
      543    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 glunurbs.py:6(<module>)
        1    0.000    0.000    0.001    0.001 annotations.py:4(<module>)
     3349    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 vertex_type_2_10_10_10_rev.py:1(<module>)
       95    0.000    0.000    0.001    0.000 images.py:421(asWrapper)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       27    0.001    0.000    0.001    0.000 {built-in method nt._isdir}
        1    0.000    0.000    0.001    0.001 blend_func_extended.py:25(<module>)
        1    0.000    0.000    0.001    0.001 GL_2_1.py:9(<module>)
        4    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
       34    0.000    0.000    0.001    0.000 arrayhelpers.py:159(setInputArraySizeType)
        1    0.000    0.000    0.001    0.001 tess.py:167(<listcomp>)
        1    0.000    0.000    0.001    0.001 _types.py:5(<module>)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        4    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      337    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
        1    0.000    0.000    0.001    0.001 constants.py:4(<module>)
        6    0.000    0.000    0.001    0.000 images.py:602(compressedImageFunction)
       41    0.001    0.000    0.001    0.000 lazywrapper.py:20(wrap)
